UniqueID;fundamental_advice;fund_advice_nrscore;uncle_stock_score;growth_score;value_score;greenblatt_score;piotroski_score;levermann_score;predictability_score;price_iv_buffett;iv_price_buf;rev_price;PL12M
1;3;3;0,65;0,72;0,56;0,5;7,45;4,68;0,34;9,16;9,16;0,2602;-0,2018
2;5;5;0,78;0,68;0,65;0,3;7,67;7,75;0,35;;;1,54;0,2757
3;4;4;0,69;0,56;0,6;0,54;8,44;-3,51;0,27;2,7;2,7;7,27;-0,1526
4;3;3;0,66;0,68;0,53;0,21;7,61;4,63;0,41;1,1;1,1;0,1517;0,3262
5;4;4;0,74;0,57;0,64;1;9,44;2,52;0,42;0,87;0,87;2,54;0,6686
6;3;3;0,63;0,66;0,54;0,49;8,46;4,7;0,34;4,91;4,91;0,357;0,3894
7;4;4;0,75;0,63;0,67;0,49;7,43;6,56;0,37;;;1,29;1,0023
8;4;4;0,74;0,55;0,62;0,73;5,4;7,61;0,34;0,53;0,53;1,86;1,5251
9;5;5;0,78;0,7;0,65;0,8;5,39;6,55;0,33;0,59;0,59;1,48;0,347
10;4;4;0,66;0,49;0,61;0,2;9,51;3,62;0,36;0,86;0,86;2,26;-0,1851
11;4;4;0,74;0,62;0,64;1,19;5,44;7,65;0,31;;;0,792;1,5397
12;3;3;0,62;0,59;0,56;0,45;7,42;4,62;0,35;2,95;2,95;1,14;-0,0761
13;5;5;0,77;0,75;0,65;1,19;9,59;6,81;0,34;1,94;1,94;0,598;0,1971
14;4;4;0,74;0,63;0,61;0,99;9,58;7,77;0,27;0,44;0,44;1,97;0,188
15;4;4;0,7;0,58;0,6;0,4;8,49;6,63;0,25;0,46;0,46;4,24;0,9179
16;4;4;0,66;0,54;0,59;0,5;9,5;7,6;0,28;3,51;3,51;0,821;0,1386
17;4;4;0,72;0,6;0,64;1,71;8,77;6,82;0,22;4,42;4,42;1,21;2,5894
18;4;4;0,69;0,61;0,6;0,5;9,52;2,61;0,31;1,03;1,03;2,21;0,6065
19;4;4;0,72;0,49;0,62;0,61;9,51;3,68;0,21;0,66;0,66;2,01;0,363
20;4;4;0,73;0,59;0,64;0,82;7,43;4,57;0,4;0,46;0,46;3,18;0,6694
21;4;4;0,72;0,55;0,58;0,45;9,51;6,64;0,34;0,89;0,89;3,28;0,0678
22;4;4;0,65;0,62;0,53;1,04;7,47;5,59;0,33;12,38;12,38;5,09;0,888
23;4;4;0,74;0,66;0,59;0,59;7,5;4,67;0,65;2,27;2,27;12,16;-0,1081
24;5;5;0,82;0,67;0,57;0,32;5,36;2,54;0,85;0,54;0,54;0,7484;0,2094
25;2;2;0,6;0,46;0,52;0,44;9,69;6,69;0,24;1,88;1,88;0,3598;0,1582
26;4;4;0,7;0,6;0,6;0,44;9,48;4,59;0,55;1,53;1,53;1,65;0,2725
27;4;4;0,74;0,62;0,59;0,52;8,47;6,63;0,38;0,48;0,48;0,9255;0,8737
28;4;4;0,64;0,64;0,44;0,34;7,55;2,66;0,65;0,83;0,83;0,7264;0,1613
29;4;4;0,67;0,71;0,53;0,23;7,38;0,74;0,75;472,07;472,07;0,1189;-0,0306
30;4;4;0,78;0,84;0,49;0,76;7,39;4,66;0,84;1,23;1,23;0,2904;0,1502
31;4;4;0,7;0,65;0,63;0,4;3,42;6,57;0,39;0,26;0,26;0,6966;0,2843
32;4;4;0,65;0,54;0,52;0,41;7,38;7,62;0,3;0,6;0,6;1,15;0,0463
33;5;5;0,87;0,56;0,8;1,13;5,48;0,5;0,61;0,88;0,88;0,3464;-0,0427
34;5;5;0,86;0,81;0,72;0,66;4,39;0,45;0,73;0,56;0,56;2,45;-0,017
35;5;5;0,82;0,75;0,71;1,13;5,47;1,47;0,34;0,32;0,32;1,68;-0,3118
36;2;2;0,61;0,69;0,52;0,62;8,43;4,68;0,43;;;0,0908;0,1579
37;5;5;0,83;0,74;0,7;0,67;6,43;4,56;0,69;0,027;0,027;1,08;-0,2494
38;2;2;0,4;0,5;0,44;0,52;9,47;3,59;0,45;16,51;16,51;0,631;0,3769
39;4;4;0,66;0,58;0,57;0,23;9,47;3,53;0,37;1,75;1,75;0,7144;0,5826
40;5;5;0,76;0,61;0,59;0,57;6,48;3,59;0,83;1,42;1,42;0,4016;-0,0626
41;5;5;0,77;0,75;0,59;0,69;7,54;6,74;0,69;1,11;1,11;0,4821;0,0423
42;5;5;0,82;0,58;0,6;0,66;6,52;5,58;0,61;0,13;0,13;0,2733;0,0317
43;4;4;0,68;0,65;0,59;0,45;8,57;3,78;0,57;44,12;44,12;0,5013;-0,4118
44;5;5;0,88;0,81;0,66;0,99;3,4;8,71;0,67;0,26;0,26;1,44;-0,2661
